Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
40.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
41.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
42.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
43.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
44.0,Assign seriousness,Take in charge ticket,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
45.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
46.0,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
47.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
48.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
49.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
50.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
51.0,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
52.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
53.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
54.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
55.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
56.0,Assign seriousness,Create SW anomaly,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
57.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
58.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
59.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
60.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
61.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
62.0,Assign seriousness,Assign seriousness,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
63.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
64.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
65.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
66.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
67.0,Assign seriousness,,Resolve ticket,Closed,,,,,,,,,,,
68.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
69.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
70.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
71.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
72.0,Resolve ticket,Closed,,,,,,,,,,,,,
73.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
74.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
75.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
76.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
77.0,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Closed,,,,,,,,,
78.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
79.0,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
80.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
81.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
82.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
83.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
84.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
85.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,
86.0,Assign seriousness,Assign seriousness,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
87.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
88.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
89.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
90.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
91.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
92.0,Assign seriousness,Take in charge ticket,Resolve ticket,,,,,,,,,,,,
93.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
94.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
95.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
96.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
97.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
98.0,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
99.0,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
100.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
101.0,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Create SW anomaly,Resolve ticket,Closed,,,,,,,
102.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
103.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
104.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
105.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
106.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
107.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
108.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
109.0,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
110.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
111.0,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
112.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
113.0,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Closed,,,,,,,,,
114.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
115.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
116.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
117.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
118.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
119.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
120.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
121.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
122.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
123.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
124.0,Assign seriousness,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,
125.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
126.0,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
127.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
128.0,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,Closed,,,,,,,,,
129.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
130.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
131.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
132.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
133.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,,Resolve ticket,Closed,,,,,,,
134.0,Assign seriousness,Take in charge ticket,Resolve ticket,,,,,,,,,,,,
135.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
136.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
137.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
138.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
139.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,,,,,,,,
140.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
141.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
142.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
143.0,Assign seriousness,Take in charge ticket,Require upgrade,Wait,Resolve ticket,Closed,,,,,,,,,
144.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
145.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
146.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
147.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
148.0,Insert ticket,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
149.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
150.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
151.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
152.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
153.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
154.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
155.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
156.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
157.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
158.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
159.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
160.0,Assign seriousness,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,
161.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
162.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
164.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
165.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Resolve ticket,Closed,,,,,,,,,
166.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
167.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
168.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
169.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
170.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
171.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
172.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
173.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
174.0,Assign seriousness,Take in charge ticket,,Closed,,,,,,,,,,,
175.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
176.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
177.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
178.0,Assign seriousness,Take in charge ticket,Resolve ticket,,,,,,,,,,,,
179.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
180.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
181.0,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
182.0,Assign seriousness,Take in charge ticket,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
183.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
184.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
185.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
186.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
187.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
188.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
189.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
190.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,Take in charge ticket,Resolve ticket,Closed,,,,,,,
191.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
192.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
193.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
194.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
195.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
196.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
197.0,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,,
198.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
199.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
200.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
201.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
202.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
203.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
204.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
205.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
206.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
207.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
208.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
209.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
210.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
211.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
212.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
213.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
214.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
215.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
216.0,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
217.0,Take in charge ticket,Wait,,Resolve ticket,Resolve ticket,Closed,,,,,,,,,
218.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
219.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
220.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
221.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
222.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
223.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
224.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
225.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
226.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
227.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
228.0,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
229.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
230.0,Assign seriousness,Take in charge ticket,Wait,Wait,Resolve ticket,Resolve ticket,Closed,,,,,,,,
231.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
232.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
233.0,Insert ticket,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
234.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
235.0,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
236.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
237.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
238.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
239.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
240.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
241.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
242.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
243.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
244.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
245.0,Insert ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
246.0,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
247.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
248.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
249.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
250.0,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
251.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
252.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
253.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
254.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
255.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
256.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,,Closed,,,,,,,,,
257.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
258.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
259.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
260.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Wait,Resolve ticket,Closed,,,,,,,,
261.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
262.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
263.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
264.0,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
265.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
266.0,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
267.0,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,,
268.0,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
269.0,Insert ticket,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
270.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
271.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
272.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
273.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
274.0,Insert ticket,Assign seriousness,Take in charge ticket,,Closed,,,,,,,,,,
275.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
276.0,Assign seriousness,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
277.0,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
278.0,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,
279.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
280.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
281.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
282.0,Assign seriousness,Take in charge ticket,Resolve ticket,,,,,,,,,,,,
283.0,Assign seriousness,,Resolve ticket,Closed,,,,,,,,,,,
284.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
285.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
286.0,Assign seriousness,Take in charge ticket,Resolve ticket,,,,,,,,,,,,
287.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
288.0,Assign seriousness,Wait,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
289.0,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
290.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
291.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
292.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
293.0,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
294.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
296.0,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
297.0,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
